summary_type       , sticker_name     , n_rows, n_clean_recognized_rows, attack_success_rate  , detection_failure_success_rate, embedding_failure_success_rate, stickered_recognized_rate_after_clean_recognition, mean_similarity_drop , median_similarity_drop, mean_clean_similarity, mean_stickered_similarity, mean_sticker_area_ratio, position_name, scale_factor
by_sticker         , stripe_noise     ,  450.0,                   396.0, 0.21717171717171718  ,          0.015151515151515152 ,          0.20202020202020202  ,                                0.7828282828282829, 0.1224162511523343   ,  0.10130068659782404  ,    0.6764807081222535,        0.5551957973962868,   0.03091244888843071  ,              ,           
by_sticker         , eyes             ,  450.0,                   396.0, 0.1919191919191919   ,          0.025252525252525252 ,          0.16666666666666666  ,                                0.8080808080808081, 0.11238811376874575  ,  0.08828255534172055  ,    0.6764807081222535,        0.5665592981510919,   0.024751228395697985 ,              ,           
by_sticker         , butterfly        ,  450.0,                   396.0, 0.18181818181818182  ,          0.017676767676767676 ,          0.16414141414141414  ,                                0.8181818181818182, 0.1013158090319272   ,  0.0814207792282104   ,    0.6764807081222535,        0.5797246199372758,   0.018469745387073445 ,              ,           
by_sticker         , mouth            ,  450.0,                   396.0, 0.18181818181818182  ,          0.0                  ,          0.18181818181818182  ,                                0.8181818181818182, 0.11530149694118234  ,  0.0852071344852447   ,    0.6764807081222535,        0.5611792111810711,   0.014288904923890951 ,              ,           
by_sticker         , eye              ,  450.0,                   396.0, 0.17424242424242425  ,          0.022727272727272728 ,          0.15151515151515152  ,                                0.8257575757575758, 0.09885093245062636  ,  0.08326098322868344  ,    0.6764807081222535,        0.5800677613736215,   0.022290313713362826 ,              ,           
by_sticker         , skin_patch_light ,  450.0,                   396.0, 0.16414141414141414  ,          0.010101010101010102 ,          0.15404040404040403  ,                                0.8358585858585859, 0.08123000291898642  ,  0.0515374541282653   ,    0.6764807081222535,        0.5960015499705423,   0.014882142734425957 ,              ,           
by_sticker         , sparkles         ,  450.0,                   396.0, 0.1590909090909091   ,          0.005050505050505051 ,          0.15404040404040403  ,                                0.8409090909090909, 0.09004085717190587  ,  0.06382599472999564  ,    0.6764807081222535,        0.5868135973412011,   0.01362333780022673  ,              ,           
by_sticker         , star             ,  450.0,                   396.0, 0.15656565656565657  ,          0.0                  ,          0.15656565656565657  ,                                0.8434343434343434, 0.0909234278897444   ,  0.07044652104377745  ,    0.6764807081222535,        0.585557280232509 ,   0.014575129711713517 ,              ,           
by_sticker         , red_heart        ,  450.0,                   396.0, 0.15656565656565657  ,          0.005050505050505051 ,          0.15151515151515152  ,                                0.8434343434343434, 0.08526638147709345  ,  0.0679447948932647   ,    0.6764807081222535,        0.592645668888239 ,   0.015394461052125167 ,              ,           
by_sticker         , checker_noise    ,  450.0,                   396.0, 0.15151515151515152  ,          0.015151515151515152 ,          0.13636363636363635  ,                                0.8484848484848485, 0.1038950064160802   ,  0.07885062694549555  ,    0.6764807081222535,        0.5737709054001817,   0.02353142287736655  ,              ,           
by_sticker         , pixel_patch      ,  450.0,                   396.0, 0.15151515151515152  ,          0.010101010101010102 ,          0.1414141414141414   ,                                0.8484848484848485, 0.0918195128315285   ,  0.0669809877872467   ,    0.6764807081222535,        0.5863170499337857,   0.021897914304367206 ,              ,           
by_sticker         , random_noise     ,  450.0,                   396.0, 0.15151515151515152  ,          0.010101010101010102 ,          0.1414141414141414   ,                                0.8484848484848485, 0.0868737121311466   ,  0.0690422058105468   ,    0.6764807081222535,        0.5912628506341677,   0.019958079923031953 ,              ,           
by_sticker         , biting_lip       ,  450.0,                   396.0, 0.13636363636363635  ,          0.0                  ,          0.13636363636363635  ,                                0.8636363636363636, 0.0955619921804302   ,  0.06979434192180631  ,    0.6764807081222535,        0.5809187159418232,   0.014847438408411448 ,              ,           
by_sticker         , black_bar        ,  450.0,                   396.0, 0.13383838383838384  ,          0.012626262626262626 ,          0.12121212121212122  ,                                0.8661616161616161, 0.08298605601418903  ,  0.0693025588989257   ,    0.6764807081222535,        0.5957662375563961,   0.011407586846716776 ,              ,           
by_sticker         , sparkling_heart  ,  450.0,                   396.0, 0.13383838383838384  ,          0.0025252525252525255,          0.13131313131313133  ,                                0.8661616161616161, 0.09153278724794461  ,  0.0688768625259399   ,    0.6764807081222535,        0.585134377871082 ,   0.016823007937325996 ,              ,           
by_sticker         , skin_patch_medium,  450.0,                   396.0, 0.12626262626262627  ,          0.0                  ,          0.12626262626262627  ,                                0.8737373737373737, 0.07137024631930719  ,  0.054244488477706854 ,    0.6764807081222535,        0.6051104618029461,   0.014882142734425957 ,              ,           
by_sticker         , soft_blue_circle ,  450.0,                   396.0, 0.09848484848484848  ,          0.012626262626262626 ,          0.08585858585858586  ,                                0.9015151515151515, 0.05516049340535121  ,  0.0427843034267425   ,    0.6764807081222535,        0.6232222187676811,   0.017668453424045574 ,              ,           
by_sticker         , skin_patch_dark  ,  450.0,                   396.0, 0.09848484848484848  ,          0.0025252525252525255,          0.09595959595959595  ,                                0.9015151515151515, 0.05850599361023551  ,  0.0448609590530395   ,    0.6764807081222535,        0.6181611715087912,   0.014882142734425957 ,              ,           
by_sticker         , soft_noise_blob  ,  450.0,                   396.0, 0.09090909090909091  ,          0.007575757575757576 ,          0.08333333333333333  ,                                0.9090909090909091, 0.05667689040103212  ,  0.0429000258445739   ,    0.6764807081222535,        0.6203656914900213,   0.01946998591210523  ,              ,           
by_sticker         , adhesive_bandage ,  450.0,                   396.0, 0.09090909090909091  ,          0.005050505050505051 ,          0.08585858585858586  ,                                0.9090909090909091, 0.06406698083238939  ,  0.046567887067794744 ,    0.6764807081222535,        0.6127874736807176,   0.012665017352162963 ,              ,           
by_sticker         , white_flower     ,  450.0,                   396.0, 0.08838383838383838  ,          0.0                  ,          0.08838383838383838  ,                                0.9116161616161617, 0.05195967952410377  ,  0.037340283393859794 ,    0.6764807081222535,        0.6245210285981496,   0.014350582414184049 ,              ,           
by_sticker         , highlight_patch  ,  450.0,                   396.0, 0.027777777777777776 ,          0.0025252525252525255,          0.025252525252525252 ,                                0.9722222222222222, 0.018679715759371846 ,  0.0141468048095703   ,    0.6764807081222535,        0.6579874493596548,   0.020939937463491688 ,              ,           
by_sticker         , contour_stroke   ,  450.0,                   396.0, 0.022727272727272728 ,          0.0                  ,          0.022727272727272728 ,                                0.9772727272727273, 0.007905978427992913 ,  0.00489559769630425  ,    0.6764807081222535,        0.6685747296942605,   0.004509500738755402 ,              ,           
by_sticker         , freckles_cluster ,  450.0,                   396.0, 0.020202020202020204 ,          0.0                  ,          0.020202020202020204 ,                                0.9797979797979798, 0.014654342813624259 ,  0.0075432360172271   ,    0.6764807081222535,        0.6618263653086291,   0.006274954472047498 ,              ,           
by_sticker         , blush_patch      ,  450.0,                   396.0, 0.020202020202020204 ,          0.0                  ,          0.020202020202020204 ,                                0.9797979797979798, 0.018559074641929713 ,  0.0134048759937286   ,    0.6764807081222535,        0.6579216334803237,   0.02050733601346936  ,              ,           
by_sticker         , glitter_patch    ,  450.0,                   396.0, 0.005050505050505051 ,          0.0                  ,          0.005050505050505051 ,                                0.9949494949494949, 0.0030243700080447617,  0.00177803635597225  ,    0.6764807081222535,        0.6734563381142087,   0.004606913376627796 ,              ,           
by_sticker         , beauty_marks     ,  450.0,                   396.0, 0.0025252525252525255,          0.0                  ,          0.0025252525252525255,                                0.9974747474747475, 0.006635193626085909 ,  0.0017098486423492   ,    0.6764807081222535,        0.6698455144961675,   0.0010696491770607365,              ,           
by_position        ,                  , 4050.0,                  3564.0, 0.19444444444444445  ,          0.014590347923681257 ,          0.17985409652076317  ,                                0.8055555555555556, 0.10823507583542366  ,  0.0887372493743896   ,    0.6764807081222535,        0.5703840488011725,   0.015906658470998866 , nose         ,           
by_position        ,                  , 4050.0,                  3564.0, 0.11896745230078563  ,          0.005331088664421998 ,          0.11363636363636363  ,                                0.8810325476992144, 0.07277032388096889  ,  0.050556868314743    ,    0.6764807081222535,        0.6041354572236372,   0.015906658470998866 , mouth_center ,           
by_position        ,                  , 4050.0,                  3564.0, 0.03479236812570146  ,          0.0002805836139169473,          0.034511784511784514 ,                                0.9652076318742986, 0.027762808621704382 ,  0.017074167728424    ,    0.6764807081222535,        0.6487385760111816,   0.015906658470998866 , lower_face   ,           
by_scale           ,                  , 4050.0,                  3564.0, 0.06762065095398428  ,          0.0025252525252525255,          0.06509539842873176  ,                                0.9323793490460157, 0.04570859253583522  ,  0.0255470871925354   ,    0.6764807081222535,        0.6309097268644225,   0.008083855425366557 ,              ,          0.7
by_scale           ,                  , 4050.0,                  3564.0, 0.1111111111111111   ,          0.006453423120089787 ,          0.10465768799102132  ,                                0.8888888888888888, 0.06882807362053894  ,  0.0459826290607452   ,    0.6764807081222535,        0.6082545175416959,   0.01519499707933885  ,              ,          1.0
by_scale           ,                  , 4050.0,                  3564.0, 0.16947250280583614  ,          0.01122334455667789  ,          0.15824915824915825  ,                                0.8305274971941639, 0.0938660364573803   ,  0.0677003264427185   ,    0.6764807081222535,        0.5844508199827885,   0.02444112290829119  ,              ,          1.3
by_sticker_position, mouth            ,  150.0,                   132.0, 0.36363636363636365  ,          0.0                  ,          0.36363636363636365  ,                                0.6363636363636364, 0.19458475314080714  ,  0.1629221588373184   ,    0.6764807081222535,        0.4818959549814463,   0.014288904923890951 , nose         ,           
by_sticker_position, stripe_noise     ,  150.0,                   132.0, 0.3560606060606061   ,          0.022727272727272728 ,          0.3333333333333333   ,                                0.6439393939393939, 0.1767827734845329   ,  0.1513853743672371   ,    0.6764807081222535,        0.501406489567337 ,   0.030912448888430706 , nose         ,           
by_sticker_position, skin_patch_light ,  150.0,                   132.0, 0.3333333333333333   ,          0.015151515151515152 ,          0.3181818181818182   ,                                0.6666666666666666, 0.15121670112617916  ,  0.1214746683835983   ,    0.6764807081222535,        0.5263953474224419,   0.014882142734425959 , nose         ,           
by_sticker_position, eyes             ,  150.0,                   132.0, 0.3106060606060606   ,          0.06818181818181818  ,          0.24242424242424243  ,                                0.6893939393939394, 0.17380527847801605  ,  0.1549181342124939   ,    0.6764807081222535,        0.5100932714509235,   0.02475122839569799  , nose         ,           
by_sticker_position, sparkles         ,  150.0,                   132.0, 0.29545454545454547  ,          0.015151515151515152 ,          0.2803030303030303   ,                                0.7045454545454546, 0.14923774793341352  ,  0.1355953812599182   ,    0.6764807081222535,        0.5283743006152075,   0.01362333780022673  , nose         ,           
by_sticker_position, biting_lip       ,  150.0,                   132.0, 0.2727272727272727   ,          0.0                  ,          0.2727272727272727   ,                                0.7272727272727273, 0.15880023562659815  ,  0.14282688498497004  ,    0.6764807081222535,        0.5176804724956552,   0.014847438408411448 , nose         ,           
by_sticker_position, butterfly        ,  150.0,                   132.0, 0.26515151515151514  ,          0.045454545454545456 ,          0.2196969696969697   ,                                0.7348484848484849, 0.1410608693217555   ,  0.1236758828163147   ,    0.6764807081222535,        0.5461717516395217,   0.01846974538707345  , nose         ,           
by_sticker_position, star             ,  150.0,                   132.0, 0.25757575757575757  ,          0.0                  ,          0.25757575757575757  ,                                0.7424242424242424, 0.13806998868783313  ,  0.12130699306726456  ,    0.6764807081222535,        0.5384107194344203,   0.01457512971171352  , nose         ,           
by_sticker_position, eye              ,  150.0,                   132.0, 0.25757575757575757  ,          0.05303030303030303  ,          0.20454545454545456  ,                                0.7424242424242424, 0.14402583329348073  ,  0.13229075074195862  ,    0.6764807081222535,        0.5405569273427548,   0.022290313713362823 , nose         ,           
by_sticker_position, checker_noise    ,  150.0,                   132.0, 0.24242424242424243  ,          0.030303030303030304 ,          0.21212121212121213  ,                                0.7575757575757576, 0.1525923377923565   ,  0.12016147375106806  ,    0.6764807081222535,        0.5263458501726185,   0.023531422877366547 , nose         ,           
by_sticker_position, stripe_noise     ,  150.0,                   132.0, 0.24242424242424243  ,          0.015151515151515152 ,          0.22727272727272727  ,                                0.7575757575757576, 0.14012049370118085  ,  0.12890946865081784  ,    0.6764807081222535,        0.5374915548474402,   0.030912448888430706 , mouth_center ,           
by_sticker_position, random_noise     ,  150.0,                   132.0, 0.24242424242424243  ,          0.015151515151515152 ,          0.22727272727272727  ,                                0.7575757575757576, 0.1375026502424762   ,  0.1266160011291504   ,    0.6764807081222535,        0.5428516424584146,   0.019958079923031946 , nose         ,           
by_sticker_position, pixel_patch      ,  150.0,                   132.0, 0.24242424242424243  ,          0.015151515151515152 ,          0.22727272727272727  ,                                0.7575757575757576, 0.1432376279793426   ,  0.1285474300384521   ,    0.6764807081222535,        0.5371166647215482,   0.0218979143043672   , nose         ,           
by_sticker_position, skin_patch_medium,  150.0,                   132.0, 0.24242424242424243  ,          0.0                  ,          0.24242424242424243  ,                                0.7575757575757576, 0.12434971054395035  ,  0.1110169440507888   ,    0.6764807081222535,        0.552130997578303 ,   0.014882142734425959 , nose         ,           
by_sticker_position, red_heart        ,  150.0,                   132.0, 0.23484848484848486  ,          0.015151515151515152 ,          0.2196969696969697   ,                                0.7651515151515151, 0.12627770300087043  ,  0.12052898108959195  ,    0.6764807081222535,        0.5545754615625699,   0.015394461052125169 , nose         ,           
