summary_type,sticker_name,n_rows,n_clean_recognized_rows,attack_success_rate,detection_failure_success_rate,embedding_failure_success_rate,stickered_recognized_rate_after_clean_recognition,mean_similarity_drop,median_similarity_drop,mean_clean_similarity,mean_stickered_similarity,mean_sticker_area_ratio,position_name,scale_factor
by_sticker,checker_noise,800.0,704.0,0.2755681818181818,0.019886363636363636,0.2556818181818182,0.7244318181818182,0.14901908683039886,0.1180678606033325,0.6764807081222535,0.5304884091215886,0.036614008865065405,,
by_sticker,skin_patch,800.0,704.0,0.21022727272727273,0.022727272727272728,0.1875,0.7897727272727273,0.11066706202303367,0.08518978953361506,0.6764807081222535,0.5675774187351076,0.026981367900216425,,
by_sticker,blue_circle,800.0,704.0,0.18607954545454544,0.046875,0.13920454545454544,0.8139204545454546,0.09862884888941502,0.0820353329181671,0.6764807081222535,0.5843376030747368,0.026942067828058917,,
by_sticker,red_heart,800.0,704.0,0.18181818181818182,0.019886363636363636,0.16193181818181818,0.8181818181818182,0.10051845395166399,0.0828975439071655,0.6764807081222535,0.5769992563802345,0.023075069580455576,,
by_sticker,yellow_star,800.0,704.0,0.17897727272727273,0.01278409090909091,0.16619318181818182,0.8210227272727273,0.10082068305604062,0.07636682689189905,0.6764807081222535,0.5769228138312509,0.019205365426244667,,
by_sticker,censor_bar,800.0,704.0,0.16051136363636365,0.045454545454545456,0.11505681818181818,0.8394886363636364,0.08990559496083537,0.07111486792564384,0.6764807081222535,0.5910418218638944,0.01765191732811046,,
by_sticker,simple_sunglasses,800.0,704.0,0.13068181818181818,0.02130681818181818,0.109375,0.8693181818181818,0.08830426900472284,0.0732596814632415,0.6764807081222535,0.5910959859854433,0.014937248737243536,,
by_sticker,blush_pair,800.0,704.0,0.03977272727272727,0.005681818181818182,0.03409090909090909,0.9602272727272727,0.040344020356447526,0.032729685306549,0.6764807081222535,0.6365573872208371,0.01212400783424385,,
by_position,,1600.0,1408.0,0.2578125,0.03835227272727273,0.21946022727272727,0.7421875,0.13355246397112705,0.1109980940818786,0.6764807081222535,0.54849576953482,0.022191381687454853,nose,
by_position,,1600.0,1408.0,0.19673295454545456,0.037642045454545456,0.1590909090909091,0.8032670454545454,0.11323704879842357,0.09121267497539515,0.6764807081222535,0.5660556961693868,0.022191381687454853,between_eyes,
by_position,,1600.0,1408.0,0.1669034090909091,0.019176136363636364,0.14772727272727273,0.8330965909090909,0.1000389801145279,0.0813503377139568,0.6764807081222535,0.5785877760502686,0.022191381687454853,mouth_center,
by_position,,1600.0,1408.0,0.060369318181818184,0.002130681818181818,0.05823863636363636,0.9396306818181818,0.04406449687535976,0.030271828174591,0.6764807081222535,0.6325884547443803,0.022191381687454853,lower_face,
by_scale,,1600.0,1408.0,0.08025568181818182,0.0078125,0.07244318181818182,0.9197443181818182,0.057597503503573386,0.04279564321041105,0.6764807081222535,0.6197313185656907,0.008721523554272708,,0.7
by_scale,,1600.0,1408.0,0.1299715909090909,0.013494318181818182,0.11647727272727272,0.8700284090909091,0.08274935317438675,0.0644611716270446,0.6764807081222535,0.5951495475187057,0.016248904752087363,,1.0
by_scale,,1600.0,1408.0,0.1924715909090909,0.02911931818181818,0.16335227272727273,0.8075284090909091,0.10911951988834459,0.0905930995941162,0.6764807081222535,0.5703609062453733,0.025987720338109428,,1.3
by_scale,,1600.0,1408.0,0.2791193181818182,0.046875,0.23224431818181818,0.7208806818181818,0.1414461257246224,0.1148957014083862,0.6764807081222535,0.5404733487026706,0.03780737810534992,,1.6
by_sticker_position,skin_patch,200.0,176.0,0.38636363636363635,0.03977272727272727,0.3465909090909091,0.6136363636363636,0.17104782745203315,0.14405463635921473,0.6764807081222535,0.5066312921796149,0.026981367900216425,nose,
by_sticker_position,checker_noise,200.0,176.0,0.35795454545454547,0.03977272727272727,0.3181818181818182,0.6420454545454546,0.18601816997946244,0.1567051410675048,0.6764807081222535,0.4976979411787388,0.03661400886506541,nose,
by_sticker_position,checker_noise,200.0,176.0,0.35795454545454547,0.022727272727272728,0.3352272727272727,0.6420454545454546,0.18062742835818194,0.1420516967773437,0.6764807081222535,0.49963202497515924,0.03661400886506541,between_eyes,
by_sticker_position,red_heart,200.0,176.0,0.2840909090909091,0.028409090909090908,0.2556818181818182,0.7159090909090909,0.1396377762472353,0.12364313006401059,0.6764807081222535,0.539971108759571,0.023075069580455576,nose,
by_sticker_position,checker_noise,200.0,176.0,0.2784090909090909,0.017045454545454544,0.26136363636363635,0.7215909090909091,0.14976668442708208,0.1229628324508667,0.6764807081222535,0.5279889352416365,0.03661400886506541,mouth_center,
by_sticker_position,yellow_star,200.0,176.0,0.2556818181818182,0.017045454545454544,0.23863636363636365,0.7443181818181818,0.13436643870509402,0.11138555407524106,0.6764807081222535,0.544519232091855,0.019205365426244663,nose,
by_sticker_position,censor_bar,200.0,176.0,0.2556818181818182,0.0625,0.19318181818181818,0.7443181818181818,0.12937797561449846,0.10714710503816599,0.6764807081222535,0.5588854379223093,0.017651917328110462,nose,
by_sticker_position,blue_circle,200.0,176.0,0.24431818181818182,0.056818181818181816,0.1875,0.7556818181818182,0.1316775593201856,0.1152702569961547,0.6764807081222535,0.5594714813337133,0.026942067828058917,nose,
by_sticker_position,simple_sunglasses,200.0,176.0,0.23863636363636365,0.056818181818181816,0.18181818181818182,0.7613636363636364,0.1309107425351622,0.1162113547325134,0.6764807081222535,0.5501341949064265,0.014937248737243536,nose,
by_sticker_position,yellow_star,200.0,176.0,0.23295454545454544,0.022727272727272728,0.21022727272727273,0.7670454545454546,0.12585782795688327,0.10078394412994379,0.6764807081222535,0.5523314350949866,0.019205365426244663,between_eyes,
by_sticker_position,blue_circle,200.0,176.0,0.2215909090909091,0.09090909090909091,0.13068181818181818,0.7784090909090909,0.11199309941795137,0.0963934659957885,0.6764807081222535,0.5744854283001688,0.026942067828058917,between_eyes,
by_sticker_position,red_heart,200.0,176.0,0.2159090909090909,0.011363636363636364,0.20454545454545456,0.7840909090909091,0.10969571599906137,0.08993148803710935,0.6764807081222535,0.5676306405226992,0.023075069580455576,mouth_center,
by_sticker_position,blue_circle,200.0,176.0,0.20454545454545456,0.03977272727272727,0.16477272727272727,0.7954545454545454,0.10915789971311472,0.0961693525314331,0.6764807081222535,0.569410605230634,0.026942067828058917,mouth_center,
by_sticker_position,censor_bar,200.0,176.0,0.19886363636363635,0.08522727272727272,0.11363636363636363,0.8011363636363636,0.09834978373154346,0.07397770881652825,0.6764807081222535,0.5791657375900642,0.017651917328110462,between_eyes,
by_sticker_position,skin_patch,200.0,176.0,0.19318181818181818,0.022727272727272728,0.17045454545454544,0.8068181818181818,0.11495147915366957,0.09063896536827085,0.6764807081222535,0.5619866811879435,0.026981367900216425,mouth_center,
by_sticker_position,skin_patch,200.0,176.0,0.18181818181818182,0.028409090909090908,0.1534090909090909,0.8181818181818182,0.11265020056938131,0.0935534685850143,0.6764807081222535,0.569330439902842,0.026981367900216425,between_eyes,
by_sticker_position,yellow_star,200.0,176.0,0.17613636363636365,0.011363636363636364,0.16477272727272727,0.8238636363636364,0.10397411679679694,0.09281754493713376,0.6764807081222535,0.5734730240220975,0.019205365426244663,mouth_center,
by_sticker_position,red_heart,200.0,176.0,0.1590909090909091,0.028409090909090908,0.13068181818181818,0.8409090909090909,0.10704675538417617,0.0971876382827758,0.6764807081222535,0.5687790996753253,0.023075069580455576,between_eyes,
by_sticker_position,simple_sunglasses,200.0,176.0,0.14772727272727273,0.005681818181818182,0.14204545454545456,0.8522727272727273,0.10517172036158975,0.0965326428413391,0.6764807081222535,0.5717296872156948,0.014937248737243536,between_eyes,
